2024-03-19T23:39:46.027+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/GCSys/1749256.000", "method": "POST", "time": "539.5µs"}
2024-03-19T23:39:46.028+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.028+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/LastGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.030+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.030+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Frees/126.000", "method": "POST", "time": "534µs"}
2024-03-19T23:39:46.032+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.032+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Mallocs/6701.000", "method": "POST", "time": "542µs"}
2024-03-19T23:39:46.034+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.034+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/OtherSys/1063671.000", "method": "POST", "time": "538.2µs"}
2024-03-19T23:39:46.036+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.036+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Sys/7098368.000", "method": "POST", "time": "543.2µs"}
2024-03-19T23:39:46.038+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.038+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/GCCPUFraction/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.040+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.040+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/NextGC/4194304.000", "method": "POST", "time": "537.1µs"}
2024-03-19T23:39:46.042+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.042+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapIdle/1548288.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.043+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.043+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MSpanSys/65280.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.045+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.045+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/Alloc/1030904.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.047+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.047+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapInuse/1990656.000", "method": "POST", "time": "540µs"}
2024-03-19T23:39:46.049+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.049+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapAlloc/1030904.000", "method": "POST", "time": "660.2µs"}
2024-03-19T23:39:46.051+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.052+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/RandomValue/2566.933", "method": "POST", "time": "532.5µs"}
2024-03-19T23:39:46.053+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.053+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapObjects/6575.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.055+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.055+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapSys/3538944.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.056+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.056+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/MSpanInuse/55040.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.059+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.059+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/NumForcedGC/0.000", "method": "POST", "time": "0s"}
2024-03-19T23:39:46.060+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
2024-03-19T23:39:46.061+0300	INFO	server/server.go:196	Server got HTTP-request	{"uri": "/update/gauge/HeapReleased/1482752.000", "method": "POST", "time": "537.5µs"}
2024-03-19T23:39:46.062+0300	INFO	server/server.go:207	Server responsing	{"status": 200, "size": 36}
